"num","cc","subversion","WI","GE","BR"
"0","LB",1,"","LBGE03FL.shp","LBBR01FL.dta"
"5","LB",1,"","LBGE52FL.shp","LBBR51FL.DTA"
"5","LB",2,"","LBGE5CFL.shp","LBBR5AFL.DTA"
"6","LB",2,"","LBGE6AFL.shp","LBBR6AFL.DTA"
"6","LB",1,"","LBGE61FL.shp",""
"7","LB",1,"","LBGE71FL.shp",""
"0","LK",1,"","","LKBR02FL.dta"
"4","LS",1,"","LSGE42FL.shp","LSBR41FL.dta"
"6","LS",1,"","LSGE62FL.shp","LSBR61FL.DTA"
"7","LS",1,"","LSGE71FL.shp","LSBR71FL.DTA"
"0","MA",1,"","","MABR01FL.dta"
"2","MA",1,"MAWI21FL.DTA","","MABR21FL.dta"
"4","MA",1,"","MAGE43FL.shp","MABR43FL.dta"
"5","MB",1,"","MBGE52FL.shp","MBBR53FL.DTA"
"2","MD",1,"","","MDBR21FL.dta"
"3","MD",1,"MDWI31FL.DTA","MDGE32FL.shp","MDBR31FL.dta"
"4","MD",1,"","","MDBR42FL.DTA"
"5","MD",1,"","MDGE53FL.shp","MDBR51FL.DTA"
"6","MD",1,"","MDGE61FL.shp",""
"6","MD",2,"","MDGE6AFL.shp",""
"7","MD",1,"","MDGE71FL.shp",""
"4","MG",1,"","","MGBR42FL.dta"
"4","MH",1,"","","MHBR42FL.dta"
"0","ML",1,"","","MLBR01FL.dta"
"3","ML",1,"MLWI32FL.DTA","MLGE33FL.shp","MLBR32FL.dta"
"4","ML",1,"MLwi42fl.dta","MLGE42FL.shp","MLBR41FL.dta"
"5","ML",1,"","MLGE52FL.shp","MLBR53FL.DTA"
"6","ML",2,"","MLGE6BFL.shp","MLBR6HFL.DTA"
"6","ML",1,"","MLGE63FL.shp",""
"7","ML",1,"","MLGE71FL.shp",""
"7","MM",1,"","MMGE71FL.shp","MMBR71FL.DTA"
"4","MN",1,"","","MNBR42FL.dta"
"4","MP",1,"","","MPBR42FL.dta"
"5","MV",1,"","","MVBR52FL.DTA"
"7","MV",1,"","","MVBR71FL.DTA"
"2","MW",1,"MWWI22FL.DTA","","MWBR22FL.dta"
"4","MW",1,"MWwi42fl.dta","MWGE43FL.shp","MWBR41FL.dta"
"4","MW",2,"","MWGE4BFL.shp","MWBR4EFL.DTA"
"6","MW",1,"","MWGE62FL.shp","MWBR61FL.DTA"
"7","MW",2,"","MWGE7AFL.shp","MWBR7HFL.DTA"
"6","MW",2,"","MWGE6AFL.shp",""
"7","MW",1,"","MWGE71FL.shp",""
"7","MW",3,"","MWGE7IFL.shp",""
"0","MX",1,"","","MXBR01FL.DTA"
"3","MZ",1,"MZWI31FL.DTA","","MZBR31FL.dta"
"4","MZ",1,"","","MZBR42FL.dta"
"6","MZ",1,"","MZGE61FL.shp","MZBR62FL.DTA"
"7","MZ",1,"","MZGE71FL.shp","MZBR71FL.DTA"
"5","MZ",1,"","MZGE52FL.shp",""
"4","NA",1,"","","NABR42FL.dta"
"3","NC",1,"NCWI31FL.DTA","","NCBR31FL.dta"
"4","NC",1,"NCWI41FL.DTA","","NCBR41FL.dta"
"2","NG",1,"NGWI21FL.DTA","NGGE23FL.shp","NGBR21FL.dta"
"4","NG",2,"","NGGE4BFL.shp","NGBR4BFL.dta"
"5","NG",1,"","NGGE52FL.shp","NGBR53FL.DTA"
"6","NG",1,"","NGGE61FL.shp","NGBR61FL.DTA"
"6","NG",2,"","NGGE6AFL.shp","NGBR6AFL.DTA"
"7","NG",1,"","NGGE71FL.shp",""
"2","NI",1,"","NIGE23FL.shp","NIBR22FL.dta"
"3","NI",1,"NIWI31FL.DTA","NIGE32FL.shp","NIBR31FL.dta"
"5","NI",1,"","","NIBR51FL.DTA"
"6","NI",1,"","","NIBR61FL.DTA"
"2","NM",1,"NMWI21FL.DTA","","NMBR21FL.dta"
"4","NM",1,"NMWI41FL.DTA","NMGE42FL.shp","NMBR41FL.dta"
"5","NM",1,"","NMGE53FL.shp","NMBR51FL.DTA"
"6","NM",1,"","NMGE61FL.shp","NMBR61FL.DTA"
"3","NP",1,"NPWI31FL.DTA","","NPBR31FL.dta"
"4","NP",1,"NPWI41FL.DTA","NPGE42FL.shp","NPBR41FL.dta"
"5","NP",1,"","NPGE53FL.shp","NPBR51FL.DTA"
"6","NP",1,"","NPGE61FL.shp","NPBR60FL.DTA"
"7","NP",2,"","NPGE7AFL.shp","NPBR7HFL.DTA"
"4","OR",1,"","","ORBR42FL.dta"
"0","OS",1,"","","OSBR01FL.dta"
"0","PE",1,"","","PEBR01FL.dta"
"2","PE",1,"PEWI21FL.DTA","","PEBR21FL.dta"
"3","PE",1,"PEWI31FL.DTA","","PEBR31FL.dta"
"4","PE",1,"PEWI41FL.DTA","PEGE44FL.shp","PEBR41FL.dta"
"5","PE",1,"","PEGE52FL.shp","PEBR51FL.DTA"
"5","PE",3,"","PEGE5IFL.shp","PEBR5IFL.DTA"
"6","PE",1,"","","PEBR61FL.DTA"
"6","PE",2,"","","PEBR6AFL.DTA"
"6","PE",3,"","","PEBR6IFL.DTA"
"3","PH",1,"PHWI31FL.DTA","","PHBR31FL.dta"
"3","PH",2,"PHWI3AFL.DTA","","PHBR3BFL.DTA"
"4","PH",1,"","PHGE43FL.shp","PHBR41FL.dta"
"5","PH",1,"","PHGE52FL.shp","PHBR52FL.DTA"
"6","PH",1,"","","PHBR61FL.DTA"
"7","PH",1,"","PHGE71FL.shp","PHBR70FL.DTA"
"4","PJ",1,"","","PJBR42FL.dta"
"2","PK",1,"PKWI21FL.DTA","","PKBR21FL.dta"
"5","PK",1,"","PKGE51FL.shp","PKBR52FL.DTA"
"6","PK",1,"","","PKBR61FL.DTA"
"7","PK",1,"","PKGE71FL.shp","PKBR71FL.DTA"
"2","PY",1,"PYWI21FL.DTA","","PYBR21FL.dta"
"4","RJ",1,"","","RJBR42FL.dta"
"2","RW",1,"RWWI21FL.DTA","","RWBR21FL.dta"
"4","RW",1,"RWwi42fl.dta","","RWBR41FL.DTA"
"5","RW",1,"","RWGE54FL.shp","RWBR53FL.DTA"
"5","RW",2,"","RWGE5BFL.shp","RWBR5AFL.DTA"
"6","RW",1,"","RWGE61FL.shp","RWBR61FL.DTA"
"7","RW",1,"","RWGE72FL.shp","RWBR70FL.DTA"
"0","SD",1,"","","SDBR02FL.dta"
"4","SK",1,"","","SKBR42FL.dta"
"5","SL",1,"","SLGE53FL.shp","SLBR51FL.DTA"
"6","SL",1,"","SLGE61FL.shp","SLBR61FL.DTA"
